case_id,slide_id,label
train_slide_0000,train_slide_0000,tumor_tissue
train_slide_0001,train_slide_0001,tumor_tissue
train_slide_0002,train_slide_0002,tumor_tissue
train_slide_0003,train_slide_0003,tumor_tissue
train_slide_0004,train_slide_0004,tumor_tissue
train_slide_0005,train_slide_0005,tumor_tissue
train_slide_0006,train_slide_0006,tumor_tissue
train_slide_0007,train_slide_0007,tumor_tissue
train_slide_0008,train_slide_0008,tumor_tissue
train_slide_0009,train_slide_0009,tumor_tissue
train_slide_0010,train_slide_0010,tumor_tissue
train_slide_0011,train_slide_0011,tumor_tissue
train_slide_0012,train_slide_0012,tumor_tissue
train_slide_0013,train_slide_0013,tumor_tissue
train_slide_0014,train_slide_0014,tumor_tissue
train_slide_0015,train_slide_0015,tumor_tissue
train_slide_0016,train_slide_0016,tumor_tissue
train_slide_0017,train_slide_0017,tumor_tissue
train_slide_0018,train_slide_0018,tumor_tissue
train_slide_0019,train_slide_0019,tumor_tissue
train_slide_0020,train_slide_0020,tumor_tissue
train_slide_0021,train_slide_0021,tumor_tissue
train_slide_0022,train_slide_0022,tumor_tissue
train_slide_0023,train_slide_0023,tumor_tissue
train_slide_0024,train_slide_0024,tumor_tissue
train_slide_0025,train_slide_0025,tumor_tissue
train_slide_0026,train_slide_0026,tumor_tissue
train_slide_0027,train_slide_0027,tumor_tissue
train_slide_0028,train_slide_0028,tumor_tissue
train_slide_0029,train_slide_0029,tumor_tissue
train_slide_0030,train_slide_0030,tumor_tissue
train_slide_0031,train_slide_0031,tumor_tissue
train_slide_0032,train_slide_0032,tumor_tissue
train_slide_0033,train_slide_0033,tumor_tissue
train_slide_0034,train_slide_0034,tumor_tissue
train_slide_0035,train_slide_0035,tumor_tissue
train_slide_0036,train_slide_0036,tumor_tissue
train_slide_0037,train_slide_0037,tumor_tissue
train_slide_0038,train_slide_0038,tumor_tissue
train_slide_0039,train_slide_0039,tumor_tissue
train_slide_0040,train_slide_0040,tumor_tissue
train_slide_0041,train_slide_0041,tumor_tissue
train_slide_0042,train_slide_0042,tumor_tissue
train_slide_0043,train_slide_0043,tumor_tissue
train_slide_0044,train_slide_0044,tumor_tissue
train_slide_0045,train_slide_0045,tumor_tissue
train_slide_0046,train_slide_0046,tumor_tissue
train_slide_0047,train_slide_0047,tumor_tissue
train_slide_0048,train_slide_0048,tumor_tissue
train_slide_0049,train_slide_0049,tumor_tissue
train_slide_0050,train_slide_0050,tumor_tissue
train_slide_0051,train_slide_0051,tumor_tissue
train_slide_0052,train_slide_0052,tumor_tissue
train_slide_0053,train_slide_0053,tumor_tissue
train_slide_0054,train_slide_0054,tumor_tissue
train_slide_0055,train_slide_0055,tumor_tissue
train_slide_0056,train_slide_0056,tumor_tissue
train_slide_0057,train_slide_0057,tumor_tissue
train_slide_0058,train_slide_0058,tumor_tissue
train_slide_0059,train_slide_0059,tumor_tissue
train_slide_0060,train_slide_0060,tumor_tissue
train_slide_0061,train_slide_0061,tumor_tissue
train_slide_0062,train_slide_0062,tumor_tissue
train_slide_0063,train_slide_0063,tumor_tissue
train_slide_0064,train_slide_0064,tumor_tissue
train_slide_0065,train_slide_0065,tumor_tissue
train_slide_0066,train_slide_0066,tumor_tissue
train_slide_0067,train_slide_0067,tumor_tissue
train_slide_0068,train_slide_0068,tumor_tissue
train_slide_0069,train_slide_0069,tumor_tissue
train_slide_0070,train_slide_0070,tumor_tissue
train_slide_0071,train_slide_0071,tumor_tissue
train_slide_0072,train_slide_0072,tumor_tissue
train_slide_0073,train_slide_0073,tumor_tissue
train_slide_0074,train_slide_0074,tumor_tissue
train_slide_0075,train_slide_0075,tumor_tissue
train_slide_0076,train_slide_0076,tumor_tissue
train_slide_0077,train_slide_0077,tumor_tissue
train_slide_0078,train_slide_0078,tumor_tissue
train_slide_0079,train_slide_0079,tumor_tissue
train_slide_0080,train_slide_0080,tumor_tissue
train_slide_0081,train_slide_0081,tumor_tissue
train_slide_0082,train_slide_0082,tumor_tissue
train_slide_0083,train_slide_0083,tumor_tissue
train_slide_0084,train_slide_0084,tumor_tissue
train_slide_0085,train_slide_0085,tumor_tissue
train_slide_0086,train_slide_0086,tumor_tissue
train_slide_0087,train_slide_0087,tumor_tissue
train_slide_0088,train_slide_0088,tumor_tissue
train_slide_0089,train_slide_0089,tumor_tissue
train_slide_0090,train_slide_0090,tumor_tissue
train_slide_0091,train_slide_0091,tumor_tissue
train_slide_0092,train_slide_0092,tumor_tissue
train_slide_0093,train_slide_0093,tumor_tissue
train_slide_0094,train_slide_0094,tumor_tissue
train_slide_0095,train_slide_0095,tumor_tissue
train_slide_0096,train_slide_0096,tumor_tissue
train_slide_0097,train_slide_0097,tumor_tissue
train_slide_0098,train_slide_0098,tumor_tissue
train_slide_0099,train_slide_0099,tumor_tissue
train_slide_0100,train_slide_0100,tumor_tissue
train_slide_0101,train_slide_0101,tumor_tissue
train_slide_0102,train_slide_0102,tumor_tissue
train_slide_0103,train_slide_0103,tumor_tissue
train_slide_0104,train_slide_0104,tumor_tissue
train_slide_0105,train_slide_0105,tumor_tissue
train_slide_0106,train_slide_0106,tumor_tissue
train_slide_0107,train_slide_0107,tumor_tissue
train_slide_0108,train_slide_0108,tumor_tissue
train_slide_0109,train_slide_0109,tumor_tissue
train_slide_0110,train_slide_0110,normal_tissue
train_slide_0111,train_slide_0111,normal_tissue
train_slide_0112,train_slide_0112,normal_tissue
train_slide_0113,train_slide_0113,normal_tissue
train_slide_0114,train_slide_0114,normal_tissue
train_slide_0115,train_slide_0115,normal_tissue
train_slide_0116,train_slide_0116,normal_tissue
train_slide_0117,train_slide_0117,normal_tissue
train_slide_0118,train_slide_0118,normal_tissue
train_slide_0119,train_slide_0119,normal_tissue
train_slide_0120,train_slide_0120,normal_tissue
train_slide_0121,train_slide_0121,normal_tissue
train_slide_0122,train_slide_0122,normal_tissue
train_slide_0123,train_slide_0123,normal_tissue
train_slide_0124,train_slide_0124,normal_tissue
train_slide_0125,train_slide_0125,normal_tissue
train_slide_0126,train_slide_0126,normal_tissue
train_slide_0127,train_slide_0127,normal_tissue
train_slide_0128,train_slide_0128,normal_tissue
train_slide_0129,train_slide_0129,normal_tissue
train_slide_0130,train_slide_0130,normal_tissue
train_slide_0131,train_slide_0131,normal_tissue
train_slide_0132,train_slide_0132,normal_tissue
train_slide_0133,train_slide_0133,normal_tissue
train_slide_0134,train_slide_0134,normal_tissue
train_slide_0135,train_slide_0135,normal_tissue
train_slide_0136,train_slide_0136,normal_tissue
train_slide_0137,train_slide_0137,normal_tissue
train_slide_0138,train_slide_0138,normal_tissue
train_slide_0139,train_slide_0139,normal_tissue
train_slide_0140,train_slide_0140,normal_tissue
train_slide_0141,train_slide_0141,normal_tissue
train_slide_0142,train_slide_0142,normal_tissue
train_slide_0143,train_slide_0143,normal_tissue
train_slide_0144,train_slide_0144,normal_tissue
train_slide_0145,train_slide_0145,normal_tissue
train_slide_0146,train_slide_0146,normal_tissue
train_slide_0147,train_slide_0147,normal_tissue
train_slide_0148,train_slide_0148,normal_tissue
train_slide_0149,train_slide_0149,normal_tissue
train_slide_0150,train_slide_0150,normal_tissue
train_slide_0151,train_slide_0151,normal_tissue
train_slide_0152,train_slide_0152,normal_tissue
train_slide_0153,train_slide_0153,normal_tissue
train_slide_0154,train_slide_0154,normal_tissue
train_slide_0155,train_slide_0155,normal_tissue
train_slide_0156,train_slide_0156,normal_tissue
train_slide_0157,train_slide_0157,normal_tissue
train_slide_0158,train_slide_0158,normal_tissue
train_slide_0159,train_slide_0159,normal_tissue
train_slide_0160,train_slide_0160,normal_tissue
train_slide_0161,train_slide_0161,normal_tissue
train_slide_0162,train_slide_0162,normal_tissue
train_slide_0163,train_slide_0163,normal_tissue
train_slide_0164,train_slide_0164,normal_tissue
train_slide_0165,train_slide_0165,normal_tissue
train_slide_0166,train_slide_0166,normal_tissue
train_slide_0167,train_slide_0167,normal_tissue
train_slide_0168,train_slide_0168,normal_tissue
