train,val,test
train_slide_0224,train_slide_0213,test_slide_0000
train_slide_0172,train_slide_0103,test_slide_0001
train_slide_0257,train_slide_0043,test_slide_0002
train_slide_0042,train_slide_0005,test_slide_0003
train_slide_0218,train_slide_0124,test_slide_0004
train_slide_0104,train_slide_0240,test_slide_0005
train_slide_0086,train_slide_0061,test_slide_0006
train_slide_0095,train_slide_0162,test_slide_0007
train_slide_0031,train_slide_0209,test_slide_0008
train_slide_0151,train_slide_0197,test_slide_0009
train_slide_0064,train_slide_0088,test_slide_0010
train_slide_0049,train_slide_0091,test_slide_0011
train_slide_0207,train_slide_0074,test_slide_0012
train_slide_0171,train_slide_0216,test_slide_0013
train_slide_0129,train_slide_0108,test_slide_0014
train_slide_0200,train_slide_0029,test_slide_0015
train_slide_0093,train_slide_0027,test_slide_0016
train_slide_0245,train_slide_0202,test_slide_0017
train_slide_0015,train_slide_0111,test_slide_0018
train_slide_0167,train_slide_0212,test_slide_0019
train_slide_0017,train_slide_0096,test_slide_0020
train_slide_0243,train_slide_0259,test_slide_0021
train_slide_0050,train_slide_0181,test_slide_0022
train_slide_0109,train_slide_0083,test_slide_0023
train_slide_0069,train_slide_0130,test_slide_0024
train_slide_0003,train_slide_0268,test_slide_0025
train_slide_0189,train_slide_0231,test_slide_0026
train_slide_0136,train_slide_0184,test_slide_0027
train_slide_0232,train_slide_0226,test_slide_0028
train_slide_0013,train_slide_0147,test_slide_0029
train_slide_0265,,test_slide_0030
train_slide_0006,,test_slide_0031
train_slide_0176,,test_slide_0032
train_slide_0251,,test_slide_0033
train_slide_0106,,test_slide_0034
train_slide_0110,,test_slide_0035
train_slide_0101,,test_slide_0036
train_slide_0026,,test_slide_0037
train_slide_0131,,test_slide_0038
train_slide_0019,,test_slide_0039
train_slide_0159,,test_slide_0040
train_slide_0217,,test_slide_0041
train_slide_0137,,test_slide_0042
train_slide_0154,,test_slide_0043
train_slide_0239,,test_slide_0044
train_slide_0090,,test_slide_0045
train_slide_0058,,test_slide_0046
train_slide_0143,,test_slide_0047
train_slide_0242,,test_slide_0048
train_slide_0062,,test_slide_0049
train_slide_0148,,test_slide_0050
train_slide_0118,,test_slide_0051
train_slide_0135,,test_slide_0052
train_slide_0102,,test_slide_0053
train_slide_0036,,test_slide_0054
train_slide_0020,,test_slide_0055
train_slide_0263,,test_slide_0056
train_slide_0138,,test_slide_0057
train_slide_0238,,test_slide_0058
train_slide_0133,,test_slide_0059
train_slide_0255,,test_slide_0060
train_slide_0117,,test_slide_0061
train_slide_0070,,test_slide_0062
train_slide_0149,,test_slide_0063
train_slide_0215,,test_slide_0064
train_slide_0055,,test_slide_0065
train_slide_0187,,test_slide_0066
train_slide_0174,,test_slide_0067
train_slide_0039,,test_slide_0068
train_slide_0248,,test_slide_0069
train_slide_0194,,test_slide_0070
train_slide_0225,,test_slide_0071
train_slide_0188,,test_slide_0072
train_slide_0170,,test_slide_0073
train_slide_0208,,test_slide_0074
train_slide_0122,,test_slide_0075
train_slide_0004,,test_slide_0076
train_slide_0183,,test_slide_0077
train_slide_0144,,test_slide_0078
train_slide_0214,,test_slide_0079
train_slide_0014,,test_slide_0080
train_slide_0085,,test_slide_0081
train_slide_0206,,test_slide_0082
train_slide_0035,,test_slide_0083
train_slide_0266,,test_slide_0084
train_slide_0182,,test_slide_0085
train_slide_0145,,test_slide_0086
train_slide_0228,,test_slide_0087
train_slide_0237,,test_slide_0088
train_slide_0192,,test_slide_0089
train_slide_0023,,test_slide_0090
train_slide_0092,,test_slide_0091
train_slide_0204,,test_slide_0092
train_slide_0060,,test_slide_0093
train_slide_0219,,test_slide_0094
train_slide_0094,,test_slide_0095
train_slide_0066,,test_slide_0096
train_slide_0160,,test_slide_0097
train_slide_0098,,test_slide_0098
train_slide_0169,,test_slide_0099
train_slide_0227,,test_slide_0100
train_slide_0247,,test_slide_0101
train_slide_0121,,test_slide_0102
train_slide_0044,,test_slide_0103
train_slide_0059,,test_slide_0104
train_slide_0156,,test_slide_0105
train_slide_0040,,test_slide_0106
train_slide_0021,,test_slide_0107
train_slide_0142,,test_slide_0108
train_slide_0113,,test_slide_0109
train_slide_0077,,test_slide_0110
train_slide_0057,,test_slide_0111
train_slide_0089,,test_slide_0112
train_slide_0010,,test_slide_0113
train_slide_0250,,test_slide_0114
train_slide_0246,,test_slide_0115
train_slide_0011,,test_slide_0116
train_slide_0120,,test_slide_0117
train_slide_0163,,test_slide_0118
train_slide_0258,,test_slide_0119
train_slide_0134,,test_slide_0120
train_slide_0229,,test_slide_0121
train_slide_0033,,test_slide_0122
train_slide_0221,,test_slide_0123
train_slide_0175,,test_slide_0124
train_slide_0140,,test_slide_0125
train_slide_0001,,test_slide_0126
train_slide_0046,,test_slide_0127
train_slide_0177,,test_slide_0128
train_slide_0126,,test_slide_0129
train_slide_0196,,
train_slide_0260,,
train_slide_0114,,
