train,val,test
21b8981,24a0987,24a1522
24a0763,24a2096,24a3415
24a0633,24a2232,24a4121
24a3261,24a0141,24a0125
24a0350,24a1140,24a1676
24a0986,24a5136,13
24a2900,24a0497,24a4393
24a0140,24a2206,24a5377
24a2386,24a2658,24a1826
24a2784,11,24a1386
24a1814,110,107
24a0705,119,112
24a1680,102,109
24a2782,114,24a0631
1,104,115
24a3360,,
24a3358,,
24a3993,,
24a6411,,
24a2086,,
24a2083,,
24a1393,,
12,,
24a5320,,
24a6287,,
24a2998,,
24a0496,,
24a0271,,
24a4273,,
10,,
24a0791,,
117,,
118,,
106,,
120,,
103,,
108,,
113,,
105,,
111,,
100,,
101,,
121,,
116,,
122,,
