Epoch	Train_Acc	Train_C0	Train_C1	Train_C2	Val_Acc	Val_C0	Val_C1	Val_C2
0	0.5556	0.6000	0.4667	0.6000	0.5333	1.0000	0.0000	0.6000
1	0.6444	0.8667	0.3333	0.7333	0.6667	0.2000	0.8000	1.0000
2	0.6667	0.8000	0.6667	0.5333	0.5333	0.8000	0.0000	0.8000
3	0.6444	0.8000	0.4000	0.7333	0.4000	0.2000	0.8000	0.2000
4	0.7111	0.8000	0.6667	0.6667	0.6667	0.2000	0.8000	1.0000
5	0.8667	0.8667	0.8000	0.9333	0.8000	0.6000	0.8000	1.0000
6	0.9111	0.9333	0.8000	1.0000	0.8000	0.6000	0.8000	1.0000
7	0.9333	0.8667	0.9333	1.0000	0.7333	0.4000	0.8000	1.0000
8	0.9778	1.0000	0.9333	1.0000	0.7333	0.2000	1.0000	1.0000
9	0.9111	0.8667	0.9333	0.9333	0.7333	0.6000	0.6000	1.0000
10	0.9778	1.0000	0.9333	1.0000	0.9333	0.8000	1.0000	1.0000
11	0.9556	1.0000	0.9333	0.9333	0.5333	0.2000	0.4000	1.0000
12	0.8667	0.9333	0.7333	0.9333	0.7333	0.4000	0.8000	1.0000
13	0.9778	1.0000	0.9333	1.0000	0.8000	0.6000	0.8000	1.0000
14	0.9778	1.0000	0.9333	1.0000	0.8000	0.6000	0.8000	1.0000
15	0.9778	1.0000	0.9333	1.0000	0.8000	0.6000	0.8000	1.0000
16	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
17	0.9111	1.0000	0.8667	0.8667	0.7333	0.4000	0.8000	1.0000
18	0.9778	1.0000	0.9333	1.0000	0.7333	0.4000	0.8000	1.0000
19	1.0000	1.0000	1.0000	1.0000	0.8667	0.6000	1.0000	1.0000
20	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
21	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
22	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
23	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
24	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
25	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
26	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
27	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
28	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
29	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
