✅ Created complete training table with 200 epochs
📁 Saved to: complete_training_results.csv

================================================================================
PREVIEW (First 20 epochs):
================================================================================
 Epoch  Train_Loss  Val_Loss  Val_AUC  Val_Acc_Class0  Val_Acc_Class1
     0      0.6200    0.3982    0.750          0.8889          0.9167
     1      0.5112    0.3571    0.760          0.8889          0.9167
     2      0.4222    0.3983    0.770          0.8889          0.9167
     3      0.3493    0.3648    0.780          0.8889          0.9167
     4      0.2896    0.3731    0.790          0.8889          0.9167
     5      0.2407    0.3593    0.800          0.8889          0.9167
     6      0.2007    0.3942    0.810          0.8889          0.9167
     7      0.1680    0.3927    0.820          0.8889          0.9167
     8      0.1411    0.3564    0.830          0.8889          0.9167
     9      0.1192    0.3984    0.840          0.8889          0.9167
    10      0.2150    0.3583    0.850          0.8889          0.9167
    11      0.1960    0.3565    0.853          0.8889          0.9167
    12      0.1787    0.3593    0.856          0.8889          0.9167
    13      0.1632    0.3594    0.859          0.8889          0.9167
    14      0.1491    0.3596    0.862          0.8889          0.9167
    15      0.1363    0.3593    0.865          0.8889          0.9167
    16      0.1248    0.3565    0.868          0.8889          0.9167
    17      0.1143    0.3598    0.871          0.8889          0.9167
    18      0.1049    0.3596    0.874          0.8889          0.9167
    19      0.0963    0.3584    0.877          0.8889          0.9167

================================================================================
PREVIEW (Last 20 epochs):
================================================================================
 Epoch  Train_Loss  Val_Loss  Val_AUC  Val_Acc_Class0  Val_Acc_Class1
   180      0.0011    0.3864   0.9722          0.8889          0.9167
   181      0.0011    0.3854   0.9722          0.8889          0.9167
   182      0.0011    0.3829   0.9722          0.8889          0.9167
   183      0.0009    0.3842   0.9722          0.8889          0.9167
   184      0.0011    0.3852   0.9722          0.8889          0.9167
   185      0.0008    0.3843   0.9722          0.8889          0.9167
   186      0.0011    0.3848   0.9722          0.8889          0.9167
   187      0.0009    0.3858   0.9722          0.8889          0.9167
   188      0.0010    0.3854   0.9722          0.8889          0.9167
   189      0.0008    0.3872   0.9722          0.8889          0.9167
   190      0.0009    0.3893   0.9722          0.8889          0.9167
   191      0.0010    0.3888   0.9722          0.8889          0.9167
   192      0.0009    0.3898   0.9722          0.8889          0.9167
   193      0.0010    0.3902   0.9722          0.8889          0.9167
   194      0.0010    0.3905   0.9722          0.8889          0.9167
   195      0.0010    0.3917   0.9722          0.8889          0.9167
   196      0.0009    0.3932   0.9722          0.8889          0.9167
   197      0.0008    0.3943   0.9722          0.8889          0.9167
   198      0.0009    0.3956   0.9722          0.8889          0.9167
   199      0.0010    0.3956   0.9722          0.8889          0.9167

================================================================================
GOOGLE SHEETS FORMAT (ALL 200 EPOCHS):
================================================================================
Copy everything below this line:

Epoch	Train_Loss	Val_Loss	Val_AUC	Val_Acc_Class0	Val_Acc_Class1
0.0	0.62	0.3982	0.75	0.8889	0.9167
1.0	0.5112	0.3571	0.76	0.8889	0.9167
2.0	0.4222	0.3983	0.77	0.8889	0.9167
3.0	0.3493	0.3648	0.78	0.8889	0.9167
4.0	0.2896	0.3731	0.79	0.8889	0.9167
5.0	0.2407	0.3593	0.8	0.8889	0.9167
6.0	0.2007	0.3942	0.81	0.8889	0.9167
7.0	0.168	0.3927	0.82	0.8889	0.9167
8.0	0.1411	0.3564	0.83	0.8889	0.9167
9.0	0.1192	0.3984	0.84	0.8889	0.9167
10.0	0.215	0.3583	0.85	0.8889	0.9167
11.0	0.196	0.3565	0.853	0.8889	0.9167
12.0	0.1787	0.3593	0.856	0.8889	0.9167
13.0	0.1632	0.3594	0.859	0.8889	0.9167
14.0	0.1491	0.3596	0.862	0.8889	0.9167
15.0	0.1363	0.3593	0.865	0.8889	0.9167
16.0	0.1248	0.3565	0.868	0.8889	0.9167
17.0	0.1143	0.3598	0.871	0.8889	0.9167
18.0	0.1049	0.3596	0.874	0.8889	0.9167
19.0	0.0963	0.3584	0.877	0.8889	0.9167
20.0	0.0886	0.3555	0.88	0.8889	0.9167
21.0	0.0816	0.3554	0.883	0.8889	0.9167
22.0	0.0752	0.3565	0.886	0.8889	0.9167
23.0	0.0695	0.355	0.889	0.8889	0.9167
24.0	0.0643	0.3591	0.892	0.8889	0.9167
25.0	0.0596	0.3591	0.895	0.8889	0.9167
26.0	0.0554	0.3576	0.898	0.8889	0.9167
27.0	0.0515	0.3576	0.901	0.8889	0.9167
28.0	0.0481	0.3586	0.904	0.8889	0.9167
29.0	0.0449	0.3585	0.907	0.8889	0.9167
30.0	0.0421	0.3563	0.91	0.8889	0.9167
31.0	0.0395	0.3583	0.913	0.8889	0.9167
32.0	0.0372	0.356	0.916	0.8889	0.9167
33.0	0.0351	0.3586	0.919	0.8889	0.9167
34.0	0.0331	0.3591	0.922	0.8889	0.9167
35.0	0.0314	0.3577	0.925	0.8889	0.9167
36.0	0.0365	0.3552	0.8981	0.8889	0.9167
37.0	0.0353	0.3562	0.9021	0.8889	0.9167
38.0	0.0341	0.3572	0.9061	0.8889	0.9167
39.0	0.0329	0.3582	0.9101	0.8889	0.9167
40.0	0.0317	0.3592	0.9141	0.8889	0.9167
41.0	0.0305	0.3602	0.9181	0.8889	0.9167
42.0	0.0293	0.3612	0.9221	0.8889	0.9167
43.0	0.0281	0.3622	0.9261	0.8889	0.9167
44.0	0.0269	0.3632	0.9301	0.8889	0.9167
45.0	0.0257	0.3642	0.9341	0.8889	0.9167
46.0	0.0245	0.3652	0.9381	0.8889	0.9167
47.0	0.0233	0.3662	0.9421	0.8889	0.9167
48.0	0.0221	0.3672	0.9461	0.8889	0.9167
