Epoch	Train_Loss	Train_Error	Val_Loss	Val_Error	Val_AUC
0	1.5328	0.4444	1.0582	0.4667	0.7133
1	0.9461	0.3556	1.0115	0.3333	0.86
2	0.8067	0.3333	0.9887	0.4667	0.7933
3	0.7584	0.3556	0.8608	0.6	0.8733
4	0.6861	0.2889	0.9903	0.3333	0.9
5	0.4753	0.1333	0.582	0.2	0.9133
6	0.3621	0.0889	0.5603	0.2	0.9267
7	0.2781	0.0667	0.544	0.2667	0.9467
8	0.1931	0.0222	0.971	0.2667	0.9467
9	0.2793	0.0889	0.5714	0.2667	0.9267
10	0.1694	0.0222	0.3791	0.0667	0.96
11	0.183	0.0444	1.1974	0.4667	0.9067
12	0.4059	0.1333	0.5236	0.2667	0.9733
13	0.1172	0.0222	0.4596	0.2	0.9667
14	0.0925	0.0222	0.3613	0.2	0.98
15	0.0806	0.0222	0.407	0.2	0.9733
16	0.06	0.0	0.4105	0.2	0.9667
17	0.2361	0.0889	0.6876	0.2667	0.9733
18	0.1043	0.0222	0.491	0.2667	0.9733
19	0.0429	0.0	0.3397	0.1333	0.98
20	0.0209	0.0	0.4982	0.2	0.9667
21	0.0149	0.0	0.5389	0.2	0.9667
22	0.0117	0.0	0.5693	0.2	0.9667
23	0.0099	0.0	0.5795	0.2	0.9667
24	0.0083	0.0	0.6144	0.2	0.9667
25	0.0072	0.0	0.6386	0.2	0.9667
26	0.0063	0.0	0.6435	0.2	0.9667
27	0.0057	0.0	0.6792	0.2	0.9667
28	0.005	0.0	0.7175	0.2	0.9667
29	0.0043	0.0	0.7584	0.2	0.9667
30	0.0036	0.0	0.7237	0.2	0.9733
31	0.0031	0.0	0.799	0.2	0.9733
32	0.0028	0.0	0.8384	0.2667	0.9667
33	0.0025	0.0	0.7745	0.2	0.9733
34	0.0023	0.0	0.7965	0.2	0.9733
35	0.0022	0.0	0.798	0.2	0.9733
36	0.0019	0.0	0.8072	0.2	0.9733
37	0.0018	0.0	0.8452	0.2	0.9733
38	0.0017	0.0	0.8159	0.2	0.9733
39	0.0016	0.0	0.8462	0.2	0.9733
40	0.0015	0.0	0.8545	0.2	0.9733
41	0.0014	0.0	0.8559	0.2	0.9733
42	0.0013	0.0	0.8746	0.2	0.9733
43	0.0013	0.0	0.8707	0.2	0.9733
44	0.0012	0.0	0.8685	0.2	0.9733
45	0.0012	0.0	0.8878	0.2	0.9733
46	0.0011	0.0	0.882	0.2	0.9733
47	0.001	0.0	0.8811	0.2	0.96
48	0.001	0.0	0.8073	0.2	0.9733
49	0.001	0.0	0.8943	0.2	0.9733
50	0.0009	0.0	0.9008	0.2	0.9733
51	0.0009	0.0	0.8963	0.2	0.9733
52	0.0009	0.0	0.9078	0.2	0.9733
53	0.0008	0.0	0.9037	0.2	0.9733
54	0.0008	0.0	0.905	0.2	0.9733
55	0.0007	0.0	0.8945	0.2	0.9733
56	0.0007	0.0	0.9152	0.2	0.9733
57	0.0007	0.0	0.9253	0.2	0.9733
58	0.0007	0.0	0.8313	0.2	0.9733
59	0.0007	0.0	0.899	0.2	0.9733
60	0.0007	0.0	0.9322	0.2	0.9733
61	0.0006	0.0	0.9216	0.2	0.9733
62	0.0006	0.0	0.949	0.2	0.9733
63	0.0006	0.0	0.9361	0.2	0.9733
64	0.0006	0.0	0.9253	0.2	0.9733
65	0.0005	0.0	0.9479	0.2	0.9733
66	0.0005	0.0	0.889	0.2	0.9733
67	0.0005	0.0	0.8962	0.2	0.9733
68	0.0005	0.0	0.9518	0.2	0.9733
69	0.0005	0.0	0.8948	0.2	0.9733
70	0.0004	0.0	0.9421	0.2	0.9733

✅ Extracted 71 epochs
